tconst,title,year,genres,rating,numVotes,directors,topCast
tt6964896,Pumpkin and Mayonnaise,2017,Drama,5.7,127,Masanori Tominaga,Asami Usuda | Kurumi Shimizu | Sario Okada
tt0105518,Tage der Rosen,1992,Comedy,6.0,7,Doris Plank,Miriam Ender | Andrea Händler | Christine Sixthofer
tt0105519,Tahader Katha,1992,Drama,7.6,180,Buddhadev Dasgupta,Anusuya Majumdar | Deboshri Bhattacharya
tt11646202,Air Mata Surga,2015,Drama,6.5,27,Hestu Saputra,Dewi Sandra | Adhitya Putri | Ayu Dyah Pasha
tt6950250,Potato Potahto,2017,Comedy,4.2,230,Shirley Frimpong-Manso,Joselyn Dumas | Joke Silva | Kemi Lala Akindoju
tt9447562,Santa Inocencia,2018,ComedyDrama,7.6,6,Meritxell Campos Olivé,Andreina Orlando | Luisa Ricci
tt8061070,My Step Dad: The Hippie,2018,Comedy,5.2,2010,Meltem Bozoflu,Derya Karadas | Meltem Yilmazkaya | Yasemin Çonka
tt30442140,Shadow of God,2025,Horror,4.0,595,Michael Peterson,Jacqueline Byers | Barb Mitchell | Emily James
tt32145804,Man and Woman,2024,DramaRomance,5.5,32,Vladimir Kott,Aleksandra Babaskina | Natalya Boyarenok | Alisa Klagish
tt6097244,Chosen: Custody of the Eyes,2017,BiographyDocumentary,8.3,11,Abbie Reese,
tt32145808,Sabbath Queen,2024,AnimationBiographyDocumentary,8.0,69,Sandi Simcha Dubowski,
tt0369235,Roundtrip,2003,Comedy,5.1,79,Alessandro Paci,Erika Bernardi | Flavia Vento | Simona Caparrini
tt6097248,Revolver Mind,2017,Drama,6.2,60,Alejandro Ramirez Corona,Rubi Kazar | Montserrat Minor
tt8061078,Man,2018,ActionCrimeDrama,8.9,13,George Kacharava,Lizi Kotrikadze
tt0105511,Sunday's Children,1992,AdventureBiographyDrama,6.9,925,Daniel Bergman,Lena Endre | Anna Linnros | Malin Ek
tt5592976,Wall of Death and All That,2016,BiographyDocumentary,7.3,22,Mladen Kovacevic,
tt0105525,Taking Manhattan,1992,ActionCrimeThriller,5.4,78,Kirk Wong,Carrie Ng | Alana Jerins | Jaclyn Ngai
tt11803618,C/O Kaadhal,2021,Drama,7.7,410,Jasti Hemambar,Aayira | Sonia Giri | Shwetha
tt0105526,The Taking of Beverly Hills,1991,ActionThriller,5.1,1464,Sidney J. Furie,Harley Jane Kozak
tt0105527,Tale of a Vampire,1992,DramaHorrorRomance,5.2,845,Shimako Sato,Suzanna Hamilton | Suzanna Hamilton | Marian Diamond
tt6254630,Sút,2016,Sport,8.0,13,Viet Max,Nhung Kate
tt3719320,Here One Minute,2015,DramaMystery,5.9,58,Eleanor Gaver,Josephine Messer | Schuyler Quinn | Vanessa Demme
tt6950248,Streer Maryada,2002,ActionDramaRomance,6.3,9,Swapan Saha,Sanghamitra Banerjee | Anju Ghosh | Meenakshi Goswami
tt0369241,Anuradha,1967,Musical,5.4,6,Aruru Pattabhi,Pandari Bai | Jayanthi | Mynavathi
tt0369242,Our House,1960,DramaFamily,4.3,12,Ram Pahwa,Shyama | Nanda Karnataki | Leela Mishra
tt6097256,Yee chung,2007,Horror,3.6,16,Kin-Nam Cho,Michelle Ye
tt0105520,Freedom Run,1992,Action,5.5,19,Yi-Ching Fung,Yvonne Hung Yung
tt0105521,Taiga,1992,Documentary,7.6,134,Ulrike Ottinger,
tt0105522,Tak tak,1992,ComedyDramaRomance,5.7,69,Jacek Gasiorowski,Jule Japhet | Monika Bolly | Maria Gladkowska
tt0105534,Fight Back to School II,1992,ActionComedyCrime,6.6,3236,Gordon Chan,Sharla Cheung | Athena Chu | Deanie lp
tt0105535,Forbidden Homework,1992,ComedyDrama,5.2,290,Jaime Humberto Hermosillo,María Rojo | María Rojo | María Rojo
tt7205466,Light,2017,Documentary,8.5,8,Yllka Gjollesha,
tt4998626,A House in Your Neighborhood,2020,Horror,7.8,10,Jay Burleson,Erin Ownbey | Rebecca Lines | Elle Trapkin
tt4720304,ZZ Top: Live at Montreux 2013,2014,Music,7.2,71,ZZ Top,
tt9447588,The Office Job,2020,Comedy,9.0,13,Ben Kerns | Martin G Lewis,Cassandra Moselle | Megan Palmer
tt0105530,Talons of the Eagle,1992,ActionAdventure,5.0,713,Michael Kennedy,Priscilla Barnes | Kelly Gallant
tt0105531,Tango Argentino,1992,DramaMusic,7.2,935,Goran Paskaljevic,Rahela Ferari | Inka Gogálová | Carna Manojlovic
tt0105533,Truant Hero,1992,ActionComedyCrime,5.4,98,Jing Wong,Sharla Cheung | Sharla Cheung | Chingmy Yau
tt0369226,Alone in the Dark,2005,ActionHorrorSci-Fi,2.4,47864,Uwe Boll,Tara Reid | Karin Konoval
tt4998632,Ambulance,2022,ActionCrimeDrama,6.1,108412,Michael Bay,Eiza González | Olivia Stambouliah | Moses Ingram
tt6950220,Mr. Misunderstanding,2020,ComedyDramaRomance,4.0,199,Muralidharan Chinniah,Catalina Caraus | Monisha Hassen | Anduela Ismaili
tt9447594,The Gambler,2019,ActionSci-FiThriller,5.1,85,Tom Emmatty,Dayyana Hameed | Rajini Chandy
tt1120908,The Muse,2007,Drama,5.5,34,Ben van Lieshout,Tara Elders | Sallie Harmsen | Fem Petraeus
tt15158960,The Dorm,2021,Drama,6.1,483,Roman Vasyanov,Marina Vasileva | Irina Starshenbaum | Yuliya Aug
tt0369221,Alab ng lahi,2003,ActionDramaWar,8.2,22,Bebong Osorio,Anne Curtis | Vanna Garcia | Flora Gasser
tt2335444,Look & See: A Portrait of Wendell Berry,2016,Documentary,7.2,142,Laura Dunn,
tt1541931,The Untitled Work of Paul Shepard,2010,ComedyRomance,6.3,74,Jeremy LaLonde,Mary Krohnert | Christine Horne | Zoie Palmer
tt9736774,Masked Mutilator,2019,Horror,4.4,158,Brick Bronsky,Christine Appino | Heidi Shelhamer
tt17374372,Sweet Adventure,2021,Documentary,8.1,9,Peter Hamblin,McKenna Alvizo
tt8350022,Fetwet El Nass El Ghalaba,1984,ComedyDramaFantasy,6.3,72,Niazi Mostafa,Poussi | Layla Fahmy | Mona Ismaeel
tt25274968,Evlad-i Cin,2023,Horror,3.4,12,Suat Ergin,Ebru Biber | Berna Gülen | Pelin Kiliç
tt2624626,La maison du pêcheur,2013,BiographyCrimeDrama,6.3,104,Alain Chartrand,Geneviève Boivin-Roussy | Ariane-Li Simard-Côté
tt13034246,Erik,2020,Documentary,9.7,17,Danilo Lola Ilic,
tt1541943,To Catch a Dollar: Muhammad Yunus Banks on America,2010,BiographyDocumentaryDrama,7.8,48,Gayle Ferraro,
tt4313954,The Creeping,2016,HorrorMysteryThriller,6.7,24,K.J. Karving,Audrey Grace | Mercery Maddok
tt21198718,Who Kidnapped My Mom?,2022,Drama,4.9,158,Jason Wan Lim,Lucie Guest | Jordan Zavisha | Linda Grass
tt4313982,The Evangelist,2017,HorrorThriller,3.2,202,Joseph Pepitone,Samantha Artese | Amanda Anastasia | Lindsay Anastasia
tt6661152,Survival in Berlin-Neukölln,2017,Documentary,6.6,33,Rosa von Praunheim,
tt2624640,Girl,2013,DocumentaryMusic,6.5,12,Kandeyce Jorden,
tt31419483,8,2025,Drama,7.3,106,Julio Medem,Ana Rujas | Loreto Mauleón | Carla Díaz
tt11646308,Si Jago Merah 2: Air & Api,2015,ActionComedyDrama,7.2,27,Raymond Handaya,Enzy Storia | Marissa Nasution
tt4313972,Chaar,2014,DramaHorrorMystery,6.9,590,Sandip Ray,Sreelekha Mitra | Sudipta Chakraborty | Anindita Bhattacharya
tt1541968,Il corridore,2010,Documentary,7.3,23,Paolo Casalis | Stefano Scarafia,
tt27729779,The Platform 2,2024,HorrorSci-FiThriller,4.9,40910,Galder Gaztelu-Urrutia,Milena Smit | Natalia Tena | Antonia San Juan
tt0369191,15 sui boon,2001,Drama,4.9,9,Siu-Kay Lee,Sin Peng Cheng | Wing Yin Cheung | Bo Fung Chui
tt35747590,Dashoi June,2025,Thriller,9.2,18,Rupak Chakraborty,Soumitrisha Kundu | Pooja Sarkar
tt0369195,Gemini,2003,DramaRomanceThriller,3.8,146,Fabian Wullenweber,Trine Dyrholm | Karen-Lise Mynster | Christiane Bjørg Nielsen
tt0369196,Wang shang guai tan,2000,HorrorMysterySci-Fi,3.9,33,Mei Kwan Hui | Kam Wong Kwong,Lai Loh Kong | Yin Chun Chu | Siu-Yin Tsang
tt15144140,Rabies,2023,Thriller,6.0,780,Dmitriy Dyachenko,Angelina Strechina | Anna Ukolova
tt12950920,Pavilion,2022,Drama,6.1,16,Eveshka Ghost,
tt4998492,Composed,2016,DocumentaryMusic,8.0,9,John Beder,
tt8364656,Simarekha,1997,DramaHistory,8.9,12,Kishor Rana,Laxmi Giri
tt22306998,A Storm Foretold,2023,BiographyDocumentaryHistory,7.6,759,Christoffer Guldbrandsen,
tt14827150,The Last Breath,2024,HorrorThriller,4.7,2457,Joachim Hedén,Kim Spearman | Erin Mullen
tt17677996,Santos - Skin to Skin,2022,DocumentaryMusic,9.1,58,Kathryn Golden,
tt17677998,The Old Man and the Demon Sword,2024,ComedyFantasy,7.6,36,Fábio Powers,Tânia Bento | Tânia Bento | Sara Fernandes Fontes
tt25274996,In Pursuit of Light,2022,Documentary,9.3,98,Tongdao Zhang,Lisa Lu
tt4024536,A Napoli non piove mai,2015,Comedy,4.9,141,Sergio Assisi,Valentina Corti | Arianna De Rosa
tt0933106,Shattered,2007,Drama,4.9,76,Rick Larkin,Gail Brady | Alexina Davidson | Amy Huberman
tt1541911,The Rise and Fall of the Grumpy Burger,2008,Documentary,5.5,11,Matt Gallagher,
tt4313944,Fukushima: Is There a Way Out?,2013,Documentary,4.4,7,Hongki Lee,
tt6543714,Nasi ocevi majke i njihova djeca,2017,Drama,7.7,17,Sanja Savic,Ljubica Cvoro | Mirjana Ilic | Desa Jakovljevic
tt4024546,Bis,2015,ComedyFantasy,5.5,1886,Dominique Farrugia,Alexandra Lamy | Anne Girouard | Eléonore Bernheim
tt27729748,Bette Davis Ain't for Sissies,2020,Drama,6.0,9,Karen Carpenter,Jessica Sherr
tt5239086,London Recruits,2024,DocumentaryDramaThriller,8.7,12,Gordon Main,Bethany Billy | Shannon Newton | Waydene Laing
tt0237314,Hospital,1960,Drama,6.1,15,Sushil Majumdar,Suchitra Sen
tt15012594,Diana: Conspiracy Theories,2016,Documentary,6.3,7,Ralph Bobsen,Melissa Silvestro
tt0237319,Hum To Chalay Susral,1996,ComedyMusical,3.0,35,Shamim Ara,Reema | Resham | Sahiba
tt3480110,Beyond Beyond,2014,AdventureAnimationFamily,6.0,917,Esben Toft Jacobsen,Sissela Kyle | Sissela Kyle | Søs Egelind
tt11778118,Vicious Fun,2020,ComedyHorror,6.5,8601,Cody Calahan,Amber Goldfarb | Alexa Rose Steele
tt27715185,Solo,2023,DramaRomance,7.0,568,Sophie Dupuis,Alice Moreault | Anne-Marie Cadieux | Josée Deschênes
tt1095403,Father of Four: Home Field Advantage,2008,ComedyFamily,4.5,340,Claus Bjerre,Sidse Mickelborg | Kathrine Bremerskov Kaysen | Cecilie Meiniche
tt1095404,Follow the Prophet,2009,CrimeDramaThriller,6.1,814,Drew Ann Rosenberg,Diane Venora | Annie B. Compton | Joan Sweeny
tt10274284,Girl Lost: A Hollywood Story,2020,DramaThriller,5.3,9878,Robin Bain,Moxie Owens | Cody Renee Cameron | Dominique Swain
tt1095405,Moskovskiy zhigolo,2008,Drama,5.8,146,Dmitriy Fiks,Olesya Sudzilovskaya | Darya Charusha | Sofya Ignatova
tt16227044,Martha,2024,Documentary,7.2,4131,R.J. Cutler,Varda Appleton
tt0237304,Heaven Becomes Hell,1989,HorrorThriller,4.2,29,Harbance Kumar,Myla Churchill | Ruth Collins | Regan Vann
tt1095408,The Inheritance,2007,Drama,5.3,207,Charles Henri Belleville,Imogen Toner | Sharon Sheehan
tt13758802,American Sasquatch,2020,Horror,2.9,67,Mathew Fisher | Tony Newton,
tt0237306,De hemlösa,2000,Documentary,7.0,22,Stefan Jarl,
tt0237309,His Highness Abdullah,1990,DramaMusicalThriller,7.9,1512,Sibi Malayil,Gautami | Kaviyoor Ponnamma
tt28756948,Yoshiki: Under the Sky,2023,Music,6.8,24,Yoshiki,
tt0947798,Black Swan,2010,DramaThriller,8.0,861605,Darren Aronofsky,Natalie Portman | Natalie Portman | Mila Kunis
tt1095413,Minor Freedoms,2008,Drama,4.9,102,Costas Zapas,Marlen Saites | Maria Koulouri
tt16227030,The House Band,2023,DocumentaryDrama,6.7,7,Laura Brownson,
tt1095414,Sweethearts of the Prison Rodeo,2009,Documentary,7.5,67,Bradley Beesley,
tt31419428,Don't Forget to Remember,2024,Documentary,8.8,14,Ross Killeen,
tt1095417,Morning,2010,Drama,8.3,63,Joe Mitacek,Emily Cline | Deb Craig
tt4431140,Tight,2012,DocumentaryMusic,5.8,7,Shaun Donnelly,Alicia Andrews | Tuesday Cross | Layla Labelle
tt16227058,Sangeet Manapman,2025,ActionDramaMusical,6.7,154,Subodh Bhave,Neena Kulkarni | Vaidehi Parshurami | Nivedita Saraf
tt11778102,Mousa,2021,ActionDramaFantasy,6.0,2034,Peter Mimi,Asma Abul-Yazid
tt1370187,The Dungeon Moor Killings,2009,Horror,6.8,10,Jim Hickey,Maria Thordar | Cassandra Steele | Lauren Elizabeth Pope
tt27715160,A Night in Tehran,2007,Drama,3.8,7,Bahram Kazemi,Mahaya Petrossian
tt1370188,Enjoy Yourself,2008,Comedy,8.1,20,George Massimillo,Andrea Pizza | Lindsay Goranson | Diana Calise
tt15433534,SriKrishna@gmail.com,2021,ComedyDramaRomance,6.3,83,Nagashekar,Bhavana
tt18339626,Boy Bastos,2022,Comedy,5.5,672,Victor Villanueva,Rose Van Ginkel | Jela Cuenca | Marissa Sanchez
tt11514252,Jacinta,2020,Documentary,7.5,521,Jessica Earnshaw,
tt9301146,So Which Band Is Your Boyfriend In?,2018,Documentary,8.1,17,Suzy Harrison,
tt25906130,Tabula rasa,2025,HorrorThriller,7.1,13,Juanfer Andrés | Esteban Roel,Macarena Gómez | Stephany Liriano | Amaia Salamanca
tt4602920,Love & Will,2018,Drama,7.1,51,Marcus Carlsson,Ingebjørg Buen | Johanna Strömberg | Sofia Westberg
tt6832936,Worst Case We Get Married,2017,Drama,6.4,252,Léa Pool,Sophie Nélisse | Karine Vanasse | Alexandrine Agostini
tt1541972,Intruso,2009,MysteryThriller,5.0,12,Paulo Fontenelle,Karla Muga | Lu Grimaldi | Juliana Knust
tt1095442,Goodbye Solo,2008,Drama,7.3,6221,Ramin Bahrani,Diana Franco Galindo | Carmen Leyva | Jamill 'Peaches' Fowler
tt2467480,Il principe abusivo,2013,Comedy,5.3,1946,Alessandro Siani,Sarah Felberbaum | Serena Autieri | Gisella Sofio
tt0237352,Jeeva,1995,Action,6.2,84,Syed Noor,Deeba Begum | Neeli | Resham
tt3494722,Kalp Kalbe Karsidir...,1978,ActionCrime,5.2,12,Çetin Inanç,Nilgün Ceylan | Gülden Gül | Figen Han
tt21630662,South to Black Power,2023,Documentary,5.1,259,Sam Pollard | Llewellyn M. Smith,
tt12729084,Al Kibar,2010,Drama,4.9,66,Mohamed Gamal El-Adl,Nadyah Al-Eraqiyyah | Safaa El Toukhy | Faridah El-Geridi
tt3494726,Yalan,1976,Thriller,5.2,9,Çetin Inanç,Figen Han | Necla Soylu | Zeynep Tedü
tt10852876,Oroslan,2019,Drama,5.9,110,Matjaz Ivanisin,Margit Gyecsek
tt0237349,Goldsinger,1965,Comedy,5.8,67,Bruno Corbucci | Giovanni Grimaldi,Evi Marandi | Gina Rovere | Evi Rigano
tt4602914,Grozny Blues,2015,DocumentaryHistoryWar,7.2,242,Nicola Bellucci,
tt4602916,Opération Correa,2015,Documentary,7.4,22,Pierre Carles,
tt6832946,Saidaty Anesaty,1989,Comedy,7.1,175,Raafat El-Mihi,Nabawiya El Sayed | Aeshah El-Kilani | Abla Kamel
tt5817456,Close Calls,2017,HorrorThriller,4.5,551,Richard Stringham,Jordan Phipps | Carmen Patterson | Janis Duley
tt4431182,The Nature of My Heart,2016,Documentary,8.7,7,Jaakko Ruuska,
tt1095419,Okie Noodling II,2008,Documentary,6.8,13,Bradley Beesley,
tt11778144,The Knower,2021,ActionCrimeThriller,6.2,2190,Ahmad Ala El-Dib,Carmen Bsaibes | Dana Abed
tt4445784,Bondage,2015,ComedyDrama,4.8,71,Esquire Jauchem,Liz Davies | Paige Davis | Brittany Morgan Williams
tt1541995,Snow Flower and the Secret Fan,2011,DramaHistory,6.1,4112,Wayne Wang,Bingbing Li | Bingbing Li | Jun Ji-hyun
tt5817462,Namasthe Madam,2014,ComedyDramaRomance,5.3,14,R. Raghuraj,Ragini Dwivedi | Nikesha Patel
tt1095421,Ramchand Pakistani,2008,Drama,7.5,1290,Mehreen Jabbar,Nandita Das | Zhalay Sarhadi | Maria Wasti
tt28742304,Thoth: The Book of Time,2023,Documentary,6.9,9,Stefania Grondona,
tt0237330,Os Imorais,1979,Drama,6.3,60,Geraldo Vietri,Sandra Bréa | Elizabeth Hartmann | Aldine Muller
tt1095423,Journey to Saturn,2008,ActionAdventureAnimation,5.7,3313,Thorbjørn Christoffersen | Craig Frank,Iben Hjejle
tt1095426,Sheltered Life,2008,Drama,8.4,72,Carl Laudan,Natasha Greenblatt | Valerie Buhagiar | Eve Harlow
tt1095427,Skin,2008,DramaHistory,6.8,1102,Hanro Smitsman,Sylvia Poorta | Urmie Plein
tt1095429,Sumo East and West,2003,DocumentarySport,7.0,27,Ferne Pearlstein,
tt0237328,Icewarrior,1994,Documentary,6.5,23,Pierre Perrault,
tt12372552,It's Not Repetition It's Discipline,2014,DocumentaryMusic,6.6,19,Troels Holmstrøm | Lars Kjelfred | Jesper Madsen,
tt0933175,Sun Zarra,2006,DramaRomance,6.2,30,Rohit Krishnakant Nayyar,Renuka Shahane | Anjana Sukhani
tt11778132,Kamata Prelude,2020,ComedyDrama,5.6,19,Mayu Akiyama | Ryûtarô Nakagawa | Hirobumi Watanabe | Yûka Yasukawa,Urara Matsubayashi | Mayuko Fukuda | Kotone Furukawa
tt1609479,Better Living Through Chemistry,2014,ComedyDrama,6.2,15929,Geoff Moore | David Posamentier,Olivia Wilde | Michelle Monaghan | Jane Fonda
tt11778136,The Real Ghosts,2019,Horror,2.9,13,Pongwat Tannukul,Suzanne Renaud
tt1095432,A Tram in SP,2008,Drama,6.3,205,Aitzol Aramaio,Julieta Serrano | Bárbara Goenaga | Marián Aguilera
tt0237320,Hunger,2001,Drama,7.7,71,Maria Giese,Kathleen Luong
tt1609481,Blue Collar Boys,2013,Action,4.8,158,Mark Nistico,Sonja Stuart | Julie Bersani
tt3362914,We Come as Friends,2014,Documentary,7.4,764,Hubert Sauper,
tt1609483,A Family of Three,2011,ComedyDrama,6.4,132,Pia Strietmann,Mathilde Bundschuh | Lena Stolze | Lucie Hollmann
tt1609484,Fall Away,2011,Drama,5.2,32,Julian Grant,Erinn Strain | Ali Goodman | Kathleen Lawlor
tt1609486,Harold and the Purple Crayon,2024,AdventureAnimationComedy,5.7,8759,Carlos Saldanha,Zooey Deschanel | Tanya Reynolds | Camille Guaty
tt1384763,99% ærlig,2008,DocumentaryMusic,5.5,37,Rune Denstad Langlo,Amina Sewali
tt1609488,Language of a Broken Heart,2011,ComedyRomance,5.7,336,Rocky Powell,Kate French | Julie White | Lara Pulver
tt14470574,Énisénis: Honour - Metoometoo,2021,Drama,4.3,12,Tamás Bori,Márta Angyal | Anna Györgyi
tt1120889,12 in a Box,2007,Comedy,5.1,468,John McKenzie,Lucy Chalkley | Miranda Hart
tt1384768,The Conquest of the Silken Beaver,2009,ComedyMysteryThriller,6.0,19,Mike Justice,Kira Hannum | Allison May | Charlie Hodge
tt0237390,The Big Win,1980,Comedy,7.3,141,Albert Mkrtchyan,Lyusya Oganesyan
tt0237391,Kuda on denetsya!,1981,Comedy,5.0,50,Georgi Yungvald-Khilkevich,Nina Ruslanova | Polina Kutepova | Kseniya Kutepova
tt0237394,Lal Pathar,1964,Drama,8.0,32,Sushil Majumdar,Supriya Choudhury | Srabani Basu | Kumkum Basu
tt0237395,Lal Patthar,1971,Drama,6.0,173,Sushil Majumdar,Hema Malini | Hema Malini | Rakhee Gulzar
tt0237396,Land of the Long Day,1952,Documentary,8.2,8,Douglas Wilkinson,
tt0237397,The Last of the Gladiators,1988,Documentary,7.9,42,Martin Jay Sadoff,
tt3009068,Shongram,2014,ActionDramaHistory,6.3,108,Munsur Ali,Asia Argento | Dilruba Yasmin Ruhee | Raffaella Coleman
tt0237399,Los laureles,1961,ComedyMusicalRomance,7.1,9,Jaime Salvador,Elvira Quintana | Maricruz Olivier | Amalia Mendoza
tt1609492,SuperClásico,2011,Comedy,6.3,2664,Ole Christian Madsen,Paprika Steen
tt0105600,The Clean Machine,1992,AdventureComedyDrama,6.4,197,Jean Beaudry,Delphine Piperni | Alexandra Laverdière | Dorothée Berryman
tt6832980,El-Shawish Hasan,1988,Action,3.2,13,Ismail Hassan,Dalal Abdulaziz | Naima Al Soghayar
tt0105601,Titanica,1992,DocumentaryHistory,6.4,415,Stephen Low,
tt0105602,Tito and Me,1992,ComedyDramaRomance,7.9,6358,Goran Markovic,Anica Dobra | Olivera Markovic | Ljiljana Dragutinovic
tt11225228,Titina,2022,AdventureAnimationFamily,7.0,613,Kajsa Næss,Anne Marit Jacobsen | Silje Torp
tt1609497,Quasi,2023,ComedyDrama,5.3,3336,Kevin Heffernan,Quinn Heffernan | Kelsey Heffernan
tt0105605,To Die to Sleep,1994,Drama,6.3,110,Brianne Murphy,Ami Dolenz | Trish Davis | Daphne Cheung
tt35444029,Ascent of Evil: The Story of Mein Kampf,2016,DocumentaryHistory,7.0,5,Frédéric Monteil,
tt4156300,Great White Code Red,2018,Documentary,8.1,15,Benjamin Hewett,
tt1384774,Greek Pete,2009,DramaRomance,5.2,786,Andrew Haigh,
tt0105608,To Protect and Serve,1992,ActionThriller,4.8,323,Eric Weston,Lezlie Deane
tt1120897,Dhan Dhana Dhan Goal,2007,DramaSportThriller,5.1,2997,Vivek Agnihotri,Bipasha Basu | Zehra Naqvi | Shernaz Patel
tt0105609,To Render a Life,1992,Documentary,8.6,27,Ross Spears,
tt11239870,White Valentine,2016,Romance,8.5,11,Davina Hong Ngan,Dieu Huyen | Phi Phung | Vuong Thu Phuong
tt1120899,Do You Sleep in the Nude?,2007,Documentary,8.2,17,Marshall Fine,Angela Lansbury
tt1384779,Those Who Remain,2008,Documentary,8.2,100,Carlos Hagerman | Juan Carlos Rulfo,Maricela Dzul | Alejandra Esparza | Edubina Esparza
tt13876004,Sally!,2024,Documentary,9.4,39,Deborah Craig,
tt3009070,The Goob,2014,DramaRomance,5.7,1317,Guy Myhill,Sienna Guillory | Hannah Spearritt | Kirianne Busby
tt23465952,Mauvaises filles,2022,Documentary,6.7,11,Émérance Dubas,
tt0237381,Koltso iz Amsterdama,1982,Adventure,5.3,55,Vladimir Chebotaryov,Lyudmila Stoyanova | Valentina Voilkova
tt0237382,Komendantskiy chas,1981,DramaWar,5.7,11,Natalya Troshchenko,Galina Makarova | Irina Reznikova | Natalya Vasilyeva
tt1370135,Aisha and Rahul,2009,ComedyDramaMusical,8.2,635,Milind Swamy,Preeti Dhanda | Kenia Del Toro | Yasmen Khan
tt0237384,Kontrolnaya po spetsialnosti,1982,Drama,6.1,43,Boris Shadurskiy,Evgeniya Simonova | Rufina Nifontova | Inna Makarova
tt1370136,Almost,2007,Comedy,8.6,15,Chris Burnham,Coby Connell | Fiona Morris | Ada Nicodemou
tt0237385,Kothachilo,1994,Drama,9.0,14,Tarun Majumdar,Mahashweta Roy | Aloka Ganguly | Sasmita Pradhan
tt1370137,American Judoka,2009,Drama,5.8,30,Cesar Alejandro Lazcano,Adriana Andreas | Debie Badal | Alexandra Dawn
tt34375868,Life Once More,2024,Drama,8.7,8,Scott O'Keeffe,Hannah Briercliffe | Tara McCarthy
tt0237386,Landscape,2000,Drama,7.4,354,Martin Sulík,Vilma Cibulková
tt7913120,The Blue Jay,2018,Drama,8.4,12,Mikhail Bjinati,Wendy Foote | Lauren White Murphy | Jenna Rivoli
tt0237387,The Place of a Scull,1973,Drama,6.6,13,Kostas Aristopoulos,
tt1370139,Antoine,2008,Documentary,7.1,58,Laura Bari,Maelle Thomas-Traoré | Julietta Maeder Bari
tt0237388,Krik tishiny,1982,Crime,6.2,43,Arya Dashiyev,Aleftina Evdokimova
tt0237389,Krupnyy razgovor,1981,Drama,5.8,17,Gennadi Glagolev,Mayya Bulgakova | Tatyana Kudryavtseva | Svetlana Shershneva
tt0105611,Together Alone,1991,Drama,7.4,136,P.J. Castellaneta,
tt0105614,Tolgo il disturbo,1990,Drama,6.8,207,Dino Risi,Dominique Sanda | Valentina Holtkamp | Eva Grimaldi
tt0105615,Tolko ne ukhodi...,1992,Romance,5.2,9,Aleksandr Mikhaylov,Elena Sotnikova | Lyudmila Baranova | Yanochka Bader
tt0105616,Tom and Jerry: The Movie,1992,AdventureAnimationComedy,5.4,12745,Phil Roman,Dana Hill | Anndi McAfee
tt0105618,The Last Bolshevik,1993,BiographyDocumentaryHistory,7.8,751,Chris Marker,Léonor Graser | Kira Paramonova | Marina Kalasieva
tt0105619,The Heroic Trio,1993,ActionFantasyThriller,6.6,4982,Johnnie To,Michelle Yeoh | Michelle Yeoh | Michelle Yeoh
tt3480056,Hana-Dama: The Origins,2014,DramaHorror,5.5,160,Hisayasu Satô,Rina Sakuragi | Eriko Nakamura | Maika Shimamura
tt3480058,Ryakudatsu ai,1991,Thriller,6.3,15,Shunichi Kajima,Hitomi Kuroki | Mayumi Ogawa | Hisako Manda
tt0237372,Khelar Putul,1981,Drama,7.5,25,Tarun Majumdar,Sandhya Roy | Sandhya Rani | Anamika Saha
tt0237376,Kireedam,1989,ActionDrama,8.9,9304,Sibi Malayil,Kaviyoor Ponnamma | Parvathi
tt0105622,Tokyo Decadence,1992,Drama,5.9,3817,Ryû Murakami,Miho Nikaido | Yayoi Kusama | Sayoko Amano
tt0105626,Sweetheart,1992,ComedyCrimeDrama,5.9,438,Michel Deville,Mathilda May | Mathilda May | Sophie Broustal
tt0105629,Toys,1992,AdventureComedyDrama,5.1,34489,Barry Levinson,Joan Cusack | Robin Wright | Debi Mazar
tt7205316,MILF,2018,Comedy,4.8,7843,Axelle Laffont,Virginie Ledoyen | Marie-Josée Croze | Axelle Laffont
tt16648076,Other Earths: The Search for Habitable Planets,2021,Documentary,5.3,27,Dave Brody,
tt0237361,Juventud sin Dios (La vida del padre Lambert),1962,DramaFamily,6.3,15,Miguel Morayta,Elvira Quintana | María Eugenia San Martín | Arcelia Larrañaga
tt0237363,Kamaladalam,1992,DramaMusical,8.0,642,Sibi Malayil,Parvathi | Monisha | Santha Devi
tt0237364,Kancher Swarga,1962,Drama,8.6,67,Tarun Majumdar | Dilip Mukherjee | Sachin Mukherjee | Yatrik,Manju Dey | Chhayadevi | Manjula Bannerjee
tt0237366,Kapel,1982,Romance,5.3,22,Andrey Benkendorf,Tatyana Doronina | Nataliya Gebdovskaya
tt0105620,Gangs' 92,1992,Action,4.6,27,Kin-Nam Cho,Winnie Lau | Maria Cordero
tt0237367,Kathin Maya,1961,Drama,7.5,16,Sushil Majumdar,Sandhya Roy
tt7913146,Nordenskiölds sista expedition,2017,Documentary,7.7,9,Charlotte Airas-Ehrnrooth,
tt7469204,Doris,2018,ComedyDramaRomance,6.1,746,Albert Jan van Rees,Tjitske Reidinga | Hendrikje Nieuwerf | Roos Ouwehand
tt36760533,Hona Mata Ashita,2024,Drama,5.9,7,Michimoto Saki,Makoto Tanaka
tt10431882,Lost in Space,2019,Drama,7.9,22,Shihyun Wang,Kristen Barone | Toni Martocchio | Melissa Miranda-McAllister
